,District,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Price
69,三峽區,套房,鋼筋混凝土造,39.02,1.0,0.0,1.0,4000000.0
70,三峽區,住宅大樓,鋼筋混凝土造,103.16,3.0,0.0,3.0,8000000.0
71,三峽區,住宅大樓,鋼筋混凝土造,140.43,3.0,2.0,2.0,9300000.0
72,三峽區,住宅大樓,鋼筋混凝土造,153.46,3.0,2.0,2.0,11700000.0
73,三峽區,住宅大樓,鋼筋混凝土造,148.46,3.0,2.0,2.0,12010000.0
74,三峽區,華廈,鋼筋混凝土造,184.19,4.0,2.0,2.0,8650000.0
75,三峽區,住宅大樓,鋼筋混凝土造,108.5,2.0,1.0,1.0,8000000.0
76,三峽區,住宅大樓,鋼筋混凝土造,151.05,3.0,2.0,2.0,11400000.0
77,三峽區,華廈,鋼筋混凝土造,148.06,3.0,2.0,2.0,11800000.0
78,三峽區,住宅大樓,鋼筋混凝土造,127.42,3.0,2.0,2.0,12000000.0
79,三峽區,住宅大樓,鋼筋混凝土造,118.63,3.0,2.0,1.0,9000000.0
80,三峽區,住宅大樓,鋼筋混凝土造,103.4,3.0,0.0,3.0,8300000.0
81,三峽區,住宅大樓,鋼筋混凝土造,108.5,2.0,2.0,1.0,8600000.0
82,三峽區,住宅大樓,鋼筋混凝土造,71.31,2.0,0.0,2.0,6000000.0
83,三峽區,華廈,鋼筋混凝土造,155.55,5.0,0.0,5.0,10000000.0
84,三峽區,住宅大樓,鋼筋混凝土造,79.96,3.0,2.0,1.0,7100000.0
85,三峽區,公寓,鋼筋混凝土造,106.09,5.0,0.0,5.0,5800000.0
86,三峽區,住宅大樓,鋼筋混凝土造,115.84,3.0,2.0,2.0,9250000.0
87,三峽區,公寓,鋼筋混凝土造,82.92,6.0,0.0,6.0,5370000.0
88,三峽區,套房,鋼筋混凝土造,39.02,1.0,0.0,1.0,4120000.0
89,三峽區,住宅大樓,鋼筋混凝土造,176.79,4.0,2.0,3.0,11200000.0
90,三峽區,住宅大樓,鋼筋混凝土造,122.09,2.0,1.0,1.0,8300000.0
91,三峽區,住宅大樓,鋼筋混凝土造,125.4,3.0,2.0,2.0,7850000.0
92,三峽區,公寓,鋼筋混凝土造,92.06,3.0,2.0,1.0,4100000.0
93,三峽區,公寓,鋼筋混凝土造,92.06,3.0,2.0,1.0,4100000.0
94,三峽區,公寓,加強磚造,57.0,3.0,2.0,1.0,4400000.0
95,三峽區,華廈,鋼筋混凝土造,138.94,4.0,2.0,2.0,6600000.0
96,三峽區,住宅大樓,鋼筋混凝土造,92.03,2.0,2.0,1.0,6760000.0
97,三峽區,華廈,鋼筋混凝土造,84.28,2.0,1.0,1.0,4700000.0
98,三峽區,華廈,鋼筋混凝土造,61.66,2.0,1.0,1.0,4300000.0
