鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土益也使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,編號
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟11樓號,15.21,住,,,1060102,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9900000,61202,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟10樓號,15.14,住,,,1060103,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10470000,64646,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟13樓號,15.21,住,,,1060105,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9900000,61202,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A06棟21樓號,11.15,住,,,1060107,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7750000,60722,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟05樓號,15.21,住,,,1060105,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10340000,63796,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟07樓號,15.21,住,,,1060105,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9760000,60336,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟11樓號,11.15,住,,,1060107,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7530000,59105,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟20樓號,15.21,住,,,1060106,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10280000,63551,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟24樓號,15.18,住,,,1060210,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10380000,64217,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟24樓號,11.15,住,,,1060109,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7980000,62637,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A06棟13樓號,11.15,住,,,1060106,土地1建物1車位0,,,05,,,,,1,2,2,有,無,5950000,63076,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A07棟24樓號,15.18,住,,,1060121,土地1建物1車位0,,,05,,,,,2,2,2,有,無,9090000,70602,,,,,,
