,District,MainMaterial,B_area,LivingR,BathR,Price,PropertyType2,log_Price,log_B_area
3830,汐止區,鋼筋混凝土造,105.9,2,2,10100000.0,華廈,16.12804598181149,4.662495252607361
3831,汐止區,鋼筋混凝土造,159.29,1,2,11000000.0,住宅大樓,16.213405830762646,5.070726440306547
3832,新店區,見其他登記事項,59.07,1,1,4400000.0,住宅大樓,15.29711509888849,4.078723181319144
3833,新店區,鋼筋混凝土造,95.75,2,2,12580000.0,公寓,16.347618809236568,4.561740628060756
3834,新店區,加強磚造,80.51,2,1,8000000.0,公寓,15.89495209964411,4.388381400311889
3835,新店區,鋼筋混凝土造,240.49,2,2,24800000.0,住宅大樓,17.02635421113521,5.482678508639762
3836,新店區,鋼筋混凝土造,110.61,2,1,15380000.0,住宅大樓,16.548578522041772,4.706010500914163
3837,新店區,鋼筋混凝土造,153.51,1,2,12000000.0,住宅大樓,16.300417207752275,5.03376571148511
3838,汐止區,鋼筋混凝土造,73.66,1,1,9000000.0,住宅大樓,16.012735135300492,4.299459911016919
3839,淡水區,鋼筋混凝土造,321.14,2,2,18680000.0,住宅大樓,16.74296399076497,5.771877165121539
3840,淡水區,鋼筋混凝土造,33.84,0,1,3300000.0,住宅大樓,15.009433026436708,3.521643534738023
3841,淡水區,鋼筋混凝土造,34.54,0,0,3300000.0,住宅大樓,15.009433026436708,3.5421180727185324
3842,淡水區,鋼筋混凝土造,33.84,0,1,2480000.0,住宅大樓,14.723769118141165,3.521643534738023
3843,淡水區,鋼筋混凝土造,72.9,1,1,3000000.0,公寓,14.914122846632385,4.289088639014612
3844,淡水區,鋼筋混凝土造,344.35,2,3,32500000.0,透天厝,17.296750647299966,5.841658581990707
3845,淡水區,鋼筋混凝土造,71.78,0,5,3980000.0,公寓,15.196792377260621,4.273605885719461
3846,八里區,鋼筋混凝土造,156.21,2,2,9800000.0,華廈,16.0978929436408,5.051201255842917
3847,淡水區,鋼筋混凝土造,66.55,1,1,3000000.0,住宅大樓,14.914122846632385,4.197953544841121
3848,淡水區,鋼筋混凝土造,71.4,1,2,4680000.0,華廈,15.358808667893829,4.268297869345539
3849,淡水區,鋼筋混凝土造,88.37,2,1,4300000.0,華廈,15.27412558066379,4.481532545529913
3850,淡水區,鋼筋混凝土造,256.55,2,3,15530000.0,住宅大樓,16.55828419512487,5.547323577387973
3851,淡水區,鋼筋混凝土造,131.29,2,2,5100000.0,住宅大樓,15.444751097694555,4.877408616946019
3852,新店區,鋼筋混凝土造,104.61,2,2,8600000.0,住宅大樓,15.967272761223736,4.650239149355669
3853,新店區,鋼筋混凝土造,76.3,1,1,8550000.0,住宅大樓,15.961441840912943,4.334672938290411
3854,新店區,鋼筋混凝土造,59.27,1,1,4650000.0,華廈,15.35237777756354,4.082103275799747
3855,新店區,鋼筋混凝土造,57.06,1,1,5600000.0,華廈,15.538277155705378,4.044103345785354
3856,新店區,鋼筋混凝土造,81.01,1,1,8750000.0,住宅大樓,15.984564258333798,4.3945726038424
3857,新店區,鋼筋混凝土造,128.48,2,3,16200000.0,公寓,16.600521800202614,4.855773250198451
3858,新莊區,鋼筋混凝土造,131.62,2,2,11500000.0,華廈,16.25785759333348,4.879918983027973
3859,五股區,鋼筋混凝土造,59.29,1,1,3650000.0,華廈,15.110237725558674,4.0824406577192764
3860,土城區,鋼筋混凝土造,74.59,2,1,5300000.0,公寓,15.483217378522351,4.312006449967072
3861,土城區,鋼筋混凝土造,94.52,2,2,8900000.0,華廈,16.00156183470237,4.548811452318707
3862,板橋區,鋼筋混凝土造,77.33,2,1,6100000.0,華廈,15.623799329143539,4.348081978620944
3863,板橋區,鋼筋混凝土造,94.78,1,1,4600000.0,公寓,15.341566861459324,4.551558416539442
3864,土城區,鋼筋混凝土造,39.67,0,1,3400000.0,住宅大樓,15.03928598958639,3.6805952345262387
3865,板橋區,鋼骨鋼筋混凝土造,139.19,2,2,21700000.0,住宅大樓,16.892822818510687,4.935839906239309
3866,板橋區,鋼筋混凝土造,180.25,2,2,14450000.0,住宅大樓,16.486204972522714,5.1943447761650585
3867,土城區,鋼筋混凝土造,120.21,2,2,7850000.0,公寓,15.876024089758591,4.7892402133161625
3868,板橋區,鋼筋混凝土造,171.56,2,2,11930000.0,住宅大樓,16.2945667940741,5.14493305964868
3869,板橋區,加強磚造,59.08,2,1,7400000.0,公寓,15.816990558174398,4.078892457663179
3870,板橋區,鋼骨鋼筋混凝土造,141.46,2,1,15000000.0,住宅大樓,16.523560759066484,4.952016991607844
3871,土城區,鋼筋混凝土造,150.93,2,2,11850000.0,住宅大樓,16.287838425545413,5.016816153171337
3872,土城區,鋼筋混凝土造,92.32,2,2,6100000.0,公寓,15.623799329143539,4.52526080275979
3873,板橋區,鋼筋混凝土造,125.46,2,2,12500000.0,公寓,16.34123920227253,4.831986982668597
3874,板橋區,鋼筋混凝土造,180.28,2,2,17400000.0,住宅大樓,16.671980764184756,5.194511197822448
3875,新莊區,鋼筋混凝土造,75.9,2,2,6770000.0,住宅大樓,15.728011644888458,4.3294166844015844
3876,新莊區,鋼筋混凝土造,72.9,1,1,5800000.0,公寓,15.573368475516649,4.289088639014612
3877,泰山區,鋼筋混凝土造,93.78,2,2,4000000.0,公寓,15.201804919084164,4.5409516136614405
3878,五股區,鋼筋混凝土造,129.04,2,2,6550000.0,華廈,15.694975607611434,4.8601224338169535
3879,新莊區,鋼筋混凝土造,131.69,2,2,9300000.0,華廈,16.045524958123483,4.880450675722129
3880,新莊區,鋼筋混凝土造,136.6,2,2,11250000.0,華廈,16.235878686614704,4.91705694713669
3881,新莊區,鋼筋混凝土造,152.43,1,2,7500000.0,公寓,15.830413578506539,5.026705474273751
3882,蘆洲區,鋼筋混凝土造,75.79,2,1,6800000.0,華廈,15.732433170146335,4.327966357823938
3884,永和區,鋼筋混凝土造,69.82,2,1,9800000.0,公寓,16.0978929436408,4.24592050167689
3885,中和區,鋼筋混凝土造,105.72,2,3,11800000.0,住宅大樓,16.283610089435893,4.660794089736088
3886,中和區,鋼筋混凝土造,127.96,2,1,10400000.0,公寓,16.1573163641116,4.8517177150813176
3887,中和區,鋼筋混凝土造,119.07,2,2,14260000.0,公寓,16.472968972950422,4.779711555463083
3888,蘆洲區,鋼筋混凝土造,133.66,2,2,10500000.0,住宅大樓,16.166885815127753,4.895299262082924
3889,三重區,鋼筋混凝土造,86.0,2,2,6200000.0,公寓,15.64005985001532,4.454347296253507
3890,蘆洲區,鋼筋混凝土造,166.35,1,2,15700000.0,華廈,16.569171270318538,5.114094002464486
3891,三重區,鋼筋混凝土造,160.96,2,2,14000000.0,華廈,16.454567887579532,5.081155886911374
3892,蘆洲區,鋼筋混凝土造,154.86,2,2,14500000.0,住宅大樓,16.489659207390805,5.042521482958578
3893,樹林區,鋼筋混凝土造,112.08,1,1,6160000.0,住宅大樓,15.633587335509702,4.719212902028752
3894,鶯歌區,鋼筋混凝土造,130.31,2,2,5000000.0,華廈,15.424948470398375,4.869916227156815
3895,樹林區,鋼筋混凝土造,96.31,2,2,6060000.0,公寓,15.617220358045497,4.567572155572773
3896,板橋區,鋼筋混凝土造,137.71,2,2,8650000.0,住宅大樓,15.973069878908062,4.925150024739034
3897,板橋區,鋼筋混凝土造,79.73,2,1,15080000.0,住宅大樓,16.528879920544085,4.378645926514404
3898,板橋區,加強磚造,90.16,3,3,22000000.0,透天厝,16.90655301132259,4.501585869731521
3899,板橋區,鋼筋混凝土造,85.01,2,2,5800000.0,公寓,15.573368475516649,4.442768896629268
3900,林口區,鋼筋混凝土造,281.27,4,4,16800000.0,透天厝,16.636889444373487,5.639315062101466
3901,林口區,鋼筋混凝土造,100.12,2,2,4380000.0,華廈,15.292559282352629,4.6063694665635735
3902,汐止區,鋼筋混凝土造,80.91,2,1,4600000.0,公寓,15.341566861459324,4.393337425819748
3903,新莊區,鋼筋混凝土造,110.2,2,2,9500000.0,住宅大樓,16.06680235657077,4.702296896718814
3904,新店區,鋼筋混凝土造,90.73,2,1,16850000.0,住宅大樓,16.639861214762647,4.507888063181538
3905,新店區,鋼筋混凝土造,99.04,2,1,5400000.0,公寓,15.501909511534503,4.595523808936286
3906,新店區,鋼筋混凝土造,101.7,1,1,7200000.0,華廈,15.789591583986283,4.622027303054514
3907,淡水區,鋼筋混凝土造,155.65,2,2,12500000.0,華廈,16.34123920227253,5.047609896887617
3908,八里區,鋼筋混凝土造,68.82,1,1,2500000.0,住宅大樓,14.73180128983843,4.231494400369335
3909,淡水區,鋼筋混凝土造,136.9,1,1,5430000.0,住宅大樓,15.507449691910118,4.919250732294404
3910,淡水區,鋼筋混凝土造,49.18,0,2,2800000.0,華廈,14.845129975145433,3.8954870367880465
3911,三重區,鋼筋混凝土造,53.0,1,1,4500000.0,公寓,15.319587954740548,3.970291913552122
3912,中和區,鋼筋混凝土造,162.09,2,2,16500000.0,華廈,16.61887093887081,5.088151736524084
3913,中和區,鋼骨鋼筋混凝土造,245.79,2,2,26200000.0,住宅大樓,17.081269968731327,5.504477512821833
3914,三重區,鋼筋混凝土造,139.93,2,1,11100000.0,住宅大樓,16.222455666282563,4.941142297567622
3915,蘆洲區,鋼筋混凝土造,135.3,2,2,12350000.0,住宅大樓,16.32916662103826,4.907494535176743
3916,三重區,加強磚造,80.46,1,2,5500000.0,公寓,15.520258650202699,4.387760166521642
3917,永和區,鋼筋混凝土造,170.07,2,2,23100000.0,住宅大樓,16.955343175492022,5.136210117004322
3918,三峽區,鋼筋混凝土造,262.38,2,3,16100000.0,住宅大樓,16.59432982995469,5.569793834652884
3919,樹林區,鋼筋混凝土造,72.15,2,1,5300000.0,公寓,15.483217378522351,4.27874728521988
3920,三峽區,鋼筋混凝土造,112.02,2,2,4200000.0,華廈,15.250595083253597,4.718677426781686
3921,板橋區,鋼筋混凝土造,99.25,1,2,7400000.0,公寓,15.816990558174398,4.5976419195673
3922,板橋區,鋼筋混凝土造,88.29,1,1,4800000.0,公寓,15.38412647587812,4.480626850913491
3923,汐止區,鋼筋混凝土造,112.08,2,2,3850000.0,公寓,15.163583706263967,4.719212902028752
3924,三芝區,鋼筋混凝土造,68.93,1,1,1600000.0,華廈,14.28551418721001,4.23309149689756
3925,淡水區,鋼筋混凝土造,69.66,1,1,5700000.0,住宅大樓,15.555976732804778,4.243626264937855
3926,八里區,鋼筋混凝土造,147.44,2,2,6700000.0,華廈,15.717618084361195,4.9934213133615675
3927,淡水區,鋼筋混凝土造,131.97,1,1,7000000.0,住宅大樓,15.761420707019587,4.882574624028738
3928,淡水區,鋼筋混凝土造,134.21,1,5,5600000.0,華廈,15.538277155705378,4.899405737409714
3929,三芝區,鋼筋混凝土造,154.3,2,2,3000000.0,華廈,14.914122846632385,5.038898759369115
3930,林口區,鋼筋混凝土造,129.09,1,1,6000000.0,住宅大樓,15.60727002719233,4.860509835518618
3931,新莊區,鋼筋混凝土造,158.93,2,2,10800000.0,公寓,16.195056692094447,5.068463853708728
3932,新莊區,鋼筋混凝土造,91.19,1,2,5800000.0,公寓,15.573368475516649,4.512945241945574
3933,泰山區,鋼筋混凝土造,84.21,2,1,4500000.0,公寓,15.319587954740548,4.433313679041901
3934,新莊區,鋼筋混凝土造,86.87,1,1,7380000.0,華廈,15.814284196576656,4.464412748271829
3937,三峽區,鋼筋混凝土造,152.81,2,2,9500000.0,住宅大樓,16.06680235657077,5.029195319617166
3938,中和區,鋼筋混凝土造,57.85,1,1,5500000.0,公寓,15.520258650202699,4.0578534536396855
3939,三重區,鋼筋混凝土造,114.93,2,2,12100000.0,華廈,16.308716010566968,4.744323247380668
3940,三重區,鋼筋混凝土造,157.91,2,2,18200000.0,住宅大樓,16.716932152047026,5.062025250478552
3941,三重區,鋼筋混凝土造,119.03,2,2,10100000.0,華廈,16.12804598181149,4.779375562179788
3942,三重區,鋼筋混凝土造,119.03,2,2,11700000.0,華廈,16.275099399767985,4.779375562179788
3943,樹林區,鋼筋混凝土造,160.27,2,2,8600000.0,住宅大樓,15.967272761223736,5.0768598930054845
