,District,L_area,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Management,Price
3383,淡水區,31.11,住宅大樓,鋼筋混凝土造,240.8,4.0,2.0,2.0,1,10780000.0
3384,淡水區,30.41,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8930000.0
3385,淡水區,30.41,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8850000.0
3386,淡水區,5.93,華廈,鋼筋混凝土造,40.17,2.0,0.0,2.0,1,1600000.0
3387,淡水區,30.41,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8880000.0
3388,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8940000.0
3389,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.63,4.0,2.0,2.0,1,8880000.0
3390,淡水區,31.11,住宅大樓,鋼筋混凝土造,240.8,4.0,2.0,2.0,1,9800000.0
3391,淡水區,30.41,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8810000.0
3392,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,9000000.0
3393,淡水區,30.9,住宅大樓,鋼筋混凝土造,239.09,4.0,2.0,2.0,1,9650000.0
3394,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8750000.0
3395,淡水區,30.9,住宅大樓,鋼筋混凝土造,239.09,4.0,2.0,2.0,1,9770000.0
3396,淡水區,30.9,住宅大樓,鋼筋混凝土造,239.09,4.0,2.0,2.0,1,9500000.0
3397,淡水區,30.9,住宅大樓,鋼筋混凝土造,239.09,4.0,2.0,2.0,1,9820000.0
3398,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8880000.0
3399,淡水區,31.18,住宅大樓,鋼筋混凝土造,240.8,4.0,2.0,2.0,1,9900000.0
3400,淡水區,31.18,住宅大樓,鋼筋混凝土造,240.8,4.0,2.0,2.0,1,9780000.0
3401,淡水區,30.48,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,9030000.0
3402,淡水區,29.64,住宅大樓,鋼筋混凝土造,204.36,4.0,2.0,2.0,1,8800000.0
3403,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8720000.0
3404,淡水區,30.9,住宅大樓,鋼筋混凝土造,239.09,4.0,2.0,2.0,1,9850000.0
3405,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8830000.0
3406,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8600000.0
3407,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8880000.0
3408,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,9050000.0
3409,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8970000.0
3410,淡水區,24.83,住宅大樓,鋼筋混凝土造,175.35,4.0,2.0,2.0,1,6960000.0
3411,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7280000.0
3412,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7250000.0
