,District,L_area,MainMaterial,B_area,House/Building/Fang,LivingR,BathR,Price,PropertyType2,td,jw
0,中和區,12.54,鋼筋混凝土造,89.65,1.0,1.0,2.0,13900000.0,住宅大樓,2,1
1,新店區,33.32,鋼筋混凝土造,103.21,3.0,2.0,2.0,5000000.0,公寓,3,1
2,中和區,23.11,鋼筋混凝土造,57.6,2.0,1.0,1.0,4500000.0,公寓,1,1
5,八里區,19.49,鋼筋混凝土造,120.18,2.0,1.0,1.0,5350000.0,華廈,1,1
6,蘆洲區,24.45,鋼筋混凝土造,98.32,3.0,1.0,2.0,9500000.0,公寓,1,1
10,八里區,9.75,鋼筋混凝土造,75.99,2.0,2.0,1.0,3710000.0,住宅大樓,1,1
11,淡水區,6.37,鋼筋混凝土造,42.98,1.0,1.0,1.0,1820000.0,住宅大樓,2,1
13,中和區,8.41,鋼筋混凝土造,105.64,3.0,2.0,2.0,10550000.0,住宅大樓,1,1
17,五股區,19.06,鋼筋混凝土造,140.44,3.0,2.0,2.0,7500000.0,華廈,1,1
20,蘆洲區,8.87,鋼筋混凝土造,57.11,1.0,1.0,1.0,5500000.0,住宅大樓,2,1
21,樹林區,17.28,鋼筋混凝土造,120.91,3.0,1.0,1.0,5800000.0,住宅大樓,1,2
22,五股區,34.2,鋼筋混凝土造,101.6,3.0,2.0,2.0,3800000.0,公寓,1,1
23,新莊區,19.23,鋼筋混凝土造,59.4,2.0,1.0,1.0,4300000.0,公寓,2,1
24,新莊區,21.5,鋼筋混凝土造,79.99,3.0,2.0,1.0,3700000.0,公寓,1,1
25,三重區,13.08,鋼筋混凝土造,71.88,2.0,2.0,1.0,7100000.0,住宅大樓,1,1
31,三重區,4.96,鋼筋混凝土造,66.4,2.0,2.0,1.0,6750000.0,住宅大樓,1,1
32,土城區,31.09,鋼筋混凝土造,103.18,3.0,2.0,1.0,9500000.0,公寓,1,1
33,林口區,20.29,鋼筋混凝土造,146.21,3.0,2.0,2.0,8130000.0,住宅大樓,1,1
35,新店區,5.59,鋼筋混凝土造,96.35,3.0,2.0,2.0,13450000.0,住宅大樓,1,1
39,三重區,34.29,鋼筋混凝土造,237.72,5.0,2.0,2.0,17750000.0,華廈,1,2
40,淡水區,24.54,鋼筋混凝土造,189.33,3.0,3.0,2.0,17000000.0,住宅大樓,1,1
44,汐止區,25.78,鋼筋混凝土造,144.69,3.0,2.0,2.0,11500000.0,住宅大樓,1,1
47,土城區,23.09,鋼筋混凝土造,82.92,3.0,2.0,1.0,5800000.0,公寓,1,1
53,新莊區,20.83,鋼筋混凝土造,77.59,2.0,1.0,1.0,7300000.0,公寓,1,1
54,新莊區,11.04,鋼筋混凝土造,75.17,2.0,2.0,2.0,7000000.0,住宅大樓,1,1
55,林口區,22.39,鋼筋混凝土造,127.04,3.0,2.0,2.0,8300000.0,住宅大樓,1,1
56,林口區,37.65,鋼筋混凝土造,184.22,3.0,2.0,2.0,11500000.0,住宅大樓,1,1
57,新莊區,16.09,鋼筋混凝土造,108.99,1.0,1.0,2.0,8500000.0,華廈,1,1
58,新莊區,20.63,鋼筋混凝土造,96.35,3.0,1.0,2.0,7800000.0,華廈,1,1
59,五股區,12.38,鋼筋混凝土造,135.43,3.0,2.0,2.0,6250000.0,住宅大樓,1,1
61,土城區,12.09,鋼筋混凝土造,88.72,2.0,1.0,1.0,6850000.0,住宅大樓,4,1
62,土城區,7.79,鋼筋混凝土造,70.56,2.0,2.0,1.0,6250000.0,華廈,1,1
63,板橋區,16.22,鋼筋混凝土造,111.0,3.0,2.0,2.0,11650000.0,華廈,1,1
65,土城區,24.39,鋼筋混凝土造,81.75,3.0,2.0,2.0,5900000.0,公寓,1,1
67,板橋區,23.25,加強磚造,75.9,0.0,0.0,0.0,8280000.0,公寓,1,1
70,淡水區,17.47,鋼筋混凝土造,93.82,2.0,1.0,2.0,4800000.0,住宅大樓,1,1
71,三芝區,24.31,鋼筋混凝土造,132.78,3.0,2.0,2.0,2700000.0,華廈,1,1
72,淡水區,57.0,鋼筋混凝土造,320.93,5.0,2.0,3.0,18500000.0,透天厝,1,1
73,淡水區,15.8,鋼筋混凝土造,81.6,5.0,0.0,0.0,5000000.0,公寓,1,1
77,淡水區,15.52,鋼筋混凝土造,121.72,2.0,2.0,1.0,5650000.0,住宅大樓,1,1
78,三芝區,19.24,鋼筋混凝土造,132.87,3.0,2.0,2.0,1880000.0,華廈,1,1
79,淡水區,21.33,鋼筋混凝土造,156.05,3.0,2.0,2.0,8680000.0,住宅大樓,1,1
81,新莊區,21.66,鋼筋混凝土造,137.63,3.0,1.0,2.0,8800000.0,華廈,1,1
84,鶯歌區,84.46,鋼筋混凝土造,208.75,5.0,2.0,3.0,9000000.0,透天厝,1,1
89,三重區,33.88,鋼筋混凝土造,228.34,3.0,2.0,2.0,24000000.0,住宅大樓,1,1
92,中和區,30.16,加強磚造,78.68,3.0,2.0,1.0,5350000.0,公寓,2,1
93,中和區,6.27,鋼筋混凝土造,88.11,2.0,2.0,1.0,8360000.0,住宅大樓,3,1
94,永和區,25.04,鋼筋混凝土造,107.47,3.0,1.0,2.0,15000000.0,華廈,1,1
96,板橋區,29.6,鋼筋混凝土造,104.52,3.0,1.0,1.0,6300000.0,公寓,2,1
101,蘆洲區,26.83,鋼筋混凝土造,134.44,3.0,2.0,2.0,12600000.0,華廈,1,1
102,三重區,19.6,鋼筋混凝土造,92.88,3.0,2.0,1.0,6500000.0,公寓,1,1
103,中和區,13.14,鋼筋混凝土造,94.5,3.0,2.0,2.0,12580000.0,住宅大樓,1,1
112,淡水區,31.12,鋼筋混凝土造,90.27,2.0,1.0,1.0,1790000.0,公寓,1,1
115,中和區,22.73,加強磚造,72.01,2.0,1.0,1.0,10000000.0,公寓,1,1
120,八里區,6.16,鋼筋混凝土造,76.11,1.0,1.0,1.0,6000000.0,住宅大樓,1,1
121,淡水區,20.2,鋼筋混凝土造,139.01,3.0,2.0,2.0,7100000.0,住宅大樓,1,1
122,三芝區,22.88,鋼筋混凝土造,198.8,3.0,2.0,2.0,2580000.0,華廈,1,1
124,中和區,22.75,鋼筋混凝土造,82.34,3.0,1.0,1.0,6800000.0,公寓,1,1
126,永和區,31.23,鋼筋混凝土造,201.9,4.0,2.0,2.0,24300000.0,華廈,1,1
127,中和區,20.88,鋼筋混凝土造,74.06,4.0,4.0,4.0,6880000.0,公寓,1,1
128,中和區,24.3,鋼筋混凝土造,82.26,3.0,2.0,1.0,6000000.0,公寓,1,1
133,淡水區,39.5,鋼筋混凝土造,207.51,4.0,2.0,2.0,16000000.0,華廈,2,1
134,三芝區,18.46,鋼筋混凝土造,100.3,3.0,2.0,2.0,2000000.0,華廈,1,1
136,五股區,15.36,鋼筋混凝土造,92.79,3.0,2.0,2.0,4800000.0,住宅大樓,1,1
138,新店區,45.43,鋼筋混凝土造,146.8,3.0,2.0,2.0,7180000.0,住宅大樓,1,1
141,汐止區,12.02,鋼筋混凝土造,98.09,3.0,2.0,2.0,4200000.0,住宅大樓,1,1
144,三重區,30.78,鋼筋混凝土造,101.4,3.0,2.0,2.0,6800000.0,公寓,2,1
145,三峽區,25.04,鋼筋混凝土造,195.33,4.0,2.0,2.0,11750000.0,住宅大樓,1,1
146,三峽區,14.34,鋼筋混凝土造,82.74,2.0,1.0,1.0,6480000.0,住宅大樓,1,1
147,土城區,20.39,鋼筋混凝土造,91.5,3.0,1.0,1.0,6300000.0,公寓,1,1
152,土城區,7.29,鋼筋混凝土造,90.25,3.0,2.0,2.0,5700000.0,住宅大樓,1,1
156,永和區,21.11,鋼筋混凝土造,68.08,4.0,2.0,2.0,9100000.0,公寓,1,1
157,永和區,8.14,鋼筋混凝土造,156.9,4.0,2.0,2.0,19600000.0,住宅大樓,1,1
158,中和區,9.88,見其他登記事項,90.27,2.0,1.0,1.0,9500000.0,住宅大樓,1,1
159,永和區,11.1,鋼筋混凝土造,122.29,3.0,2.0,2.0,16400000.0,住宅大樓,1,1
161,中和區,29.57,鋼筋混凝土造,97.68,3.0,1.0,1.0,10340000.0,公寓,1,1
162,中和區,15.4,鋼筋混凝土造,50.92,2.0,1.0,1.0,3500000.0,公寓,3,1
163,三重區,21.0,鋼筋混凝土造,99.38,4.0,2.0,2.0,7200000.0,公寓,1,1
164,三重區,11.19,鋼筋混凝土造,79.45,2.0,2.0,1.0,9750000.0,華廈,0,1
167,樹林區,37.37,鋼筋混凝土造,94.96,1.0,1.0,1.0,9800000.0,公寓,1,1
171,鶯歌區,17.9,鋼筋混凝土造,87.85,3.0,2.0,1.0,2000000.0,公寓,2,1
172,鶯歌區,19.41,鋼筋混凝土造,71.89,3.0,2.0,2.0,4300000.0,華廈,1,1
177,三重區,298.02,鋼筋混凝土造,101.92,3.0,1.0,1.0,6700000.0,公寓,1,1
178,蘆洲區,23.76,鋼筋混凝土造,105.97,3.0,2.0,2.0,8200000.0,華廈,1,1
181,深坑區,27.17,鋼筋混凝土造,136.08,3.0,2.0,2.0,9310000.0,華廈,1,1
183,淡水區,18.03,鋼筋混凝土造,90.48,2.0,1.0,1.0,4600000.0,住宅大樓,1,1
184,淡水區,7.1,鋼筋混凝土造,33.84,1.0,1.0,1.0,1640000.0,套房,1,1
185,淡水區,16.94,鋼筋混凝土造,90.09,2.0,2.0,1.0,5600000.0,住宅大樓,1,1
186,淡水區,19.68,鋼筋混凝土造,129.92,2.0,2.0,1.0,7250000.0,住宅大樓,1,1
188,淡水區,11.51,鋼筋混凝土造,63.11,1.0,2.0,1.0,2500000.0,華廈,2,1
191,三芝區,4.09,鋼筋混凝土造,33.4,0.0,0.0,0.0,655000.0,住宅大樓,1,1
195,淡水區,30.51,鋼筋混凝土造,124.63,3.0,2.0,2.0,10800000.0,住宅大樓,1,1
198,新店區,34.98,鋼筋混凝土造,111.3,3.0,2.0,2.0,8050000.0,公寓,3,1
201,新店區,9.45,鋼筋混凝土造,139.39,3.0,2.0,2.0,11600000.0,住宅大樓,1,1
202,汐止區,10.49,鋼筋混凝土造,76.6,3.0,2.0,1.0,7350000.0,住宅大樓,2,1
210,板橋區,4.38,鋼骨混凝土造,40.76,1.0,0.0,1.0,3280000.0,套房,1,2
211,板橋區,27.25,加強磚造,76.84,3.0,2.0,2.0,6200000.0,公寓,2,1
212,板橋區,26.25,鋼筋混凝土造,82.38,3.0,1.0,1.0,7800000.0,公寓,1,1
213,板橋區,25.17,鋼筋混凝土造,82.6,4.0,2.0,1.0,4800000.0,公寓,1,1
215,板橋區,256.49,鋼筋混凝土造,86.67,3.0,2.0,1.0,6100000.0,公寓,1,1
216,新莊區,15.04,鋼筋混凝土造,112.07,3.0,2.0,2.0,10620000.0,住宅大樓,1,1
217,新莊區,10.53,鋼筋混凝土造,80.09,2.0,2.0,1.0,6500000.0,住宅大樓,1,1
219,新莊區,5.56,鋼筋混凝土造,48.16,1.0,0.0,1.0,3230000.0,住宅大樓,0,1
220,新莊區,9.8,鋼筋混凝土造,93.97,2.0,1.0,1.0,9480000.0,住宅大樓,1,1
221,泰山區,32.1,鋼筋混凝土造,84.5,3.0,1.0,1.0,4400000.0,公寓,0,1
223,新莊區,12.95,鋼筋混凝土造,97.54,3.0,1.0,2.0,10800000.0,華廈,1,1
224,新莊區,18.79,加強磚造,60.36,2.0,1.0,1.0,3600000.0,公寓,1,1
225,林口區,19.39,鋼筋混凝土造,150.98,3.0,2.0,2.0,8500000.0,住宅大樓,1,1
227,新莊區,13.42,鋼筋混凝土造,113.02,3.0,2.0,2.0,9500000.0,住宅大樓,1,1
229,五股區,29.53,鋼筋混凝土造,97.38,3.0,2.0,2.0,4300000.0,公寓,1,1
230,五股區,18.02,鋼筋混凝土造,132.72,3.0,2.0,2.0,7050000.0,華廈,1,1
231,五股區,17.43,鋼筋混凝土造,160.06,3.0,2.0,2.0,8050000.0,華廈,1,1
232,新莊區,9.24,鋼筋混凝土造,82.9,2.0,1.0,1.0,4600000.0,住宅大樓,1,1
235,新莊區,18.4,鋼筋混凝土造,64.39,0.0,0.0,1.0,6300000.0,公寓,1,1
239,新莊區,16.76,鋼筋混凝土造,147.42,4.0,2.0,2.0,15750000.0,住宅大樓,1,1
240,板橋區,8.03,鋼骨鋼筋混凝土造,68.77,2.0,2.0,1.0,8980000.0,住宅大樓,1,1
241,板橋區,12.85,鋼筋混凝土造,91.27,2.0,2.0,1.0,9450000.0,住宅大樓,1,1
243,板橋區,12.95,鋼筋混凝土造,137.52,3.0,2.0,2.0,15950000.0,住宅大樓,1,1
244,土城區,14.97,鋼筋混凝土造,106.44,3.0,2.0,2.0,7500000.0,住宅大樓,1,1
247,板橋區,17.43,鋼筋混凝土造,137.86,3.0,2.0,2.0,10000000.0,住宅大樓,4,1
248,板橋區,26.92,鋼筋混凝土造,95.76,5.0,4.0,2.0,5000000.0,公寓,1,1
253,汐止區,7.04,鋼筋混凝土造,63.29,2.0,2.0,1.0,3600000.0,住宅大樓,1,1
256,新店區,28.38,鋼筋混凝土造,93.66,3.0,2.0,2.0,12350000.0,公寓,1,1
257,新店區,22.07,鋼筋混凝土造,67.84,3.0,2.0,2.0,5500000.0,公寓,2,1
258,淡水區,24.03,鋼筋混凝土造,104.98,3.0,2.0,2.0,5670000.0,公寓,1,1
261,八里區,13.93,鋼筋混凝土造,114.99,3.0,2.0,2.0,3500000.0,住宅大樓,1,1
265,淡水區,24.05,鋼筋混凝土造,167.97,3.0,2.0,2.0,7250000.0,住宅大樓,1,1
270,新店區,7.84,鋼骨鋼筋混凝土造,76.9,2.0,1.0,1.0,11100000.0,住宅大樓,1,1
271,新店區,20.78,鋼筋混凝土造,75.82,3.0,2.0,1.0,9250000.0,公寓,2,1
272,深坑區,29.49,鋼筋混凝土造,96.77,3.0,2.0,1.0,5700000.0,公寓,1,1
273,新店區,120.04,鋼筋混凝土造,822.94,0.0,0.0,0.0,70140000.0,華廈,1,1
274,新店區,120.04,鋼筋混凝土造,800.74,0.0,0.0,0.0,69160000.0,華廈,1,1
276,淡水區,30.27,鋼筋混凝土造,87.63,2.0,1.0,1.0,7600000.0,公寓,2,1
279,樹林區,23.65,鋼筋混凝土造,183.25,4.0,2.0,2.0,11000000.0,住宅大樓,1,1
280,中和區,31.11,鋼筋混凝土造,99.91,3.0,1.0,2.0,7500000.0,公寓,1,1
283,三峽區,5.35,鋼筋混凝土造,39.91,1.0,0.0,1.0,2850000.0,住宅大樓,1,1
291,三重區,37.0,加強磚造,70.0,4.0,2.0,3.0,10000000.0,透天厝,1,1
293,蘆洲區,31.05,鋼筋混凝土造,179.36,4.0,2.0,2.0,11650000.0,住宅大樓,1,1
295,永和區,6.08,鋼筋混凝土造,97.97,3.0,2.0,2.0,10750000.0,住宅大樓,1,1
297,中和區,11.29,鋼筋混凝土造,75.74,2.0,2.0,1.0,9900000.0,住宅大樓,1,1
298,永和區,34.23,鋼筋混凝土造,212.79,4.0,2.0,2.0,21000000.0,住宅大樓,1,2
299,中和區,19.83,鋼筋混凝土造,61.02,1.0,1.0,1.0,5000000.0,華廈,2,1
303,永和區,37.55,見其他登記事項,87.84,1.0,2.0,1.0,8080000.0,公寓,1,1
304,中和區,31.13,鋼筋混凝土造,102.32,3.0,2.0,2.0,10200000.0,公寓,1,1
306,新莊區,25.45,鋼筋混凝土造,89.11,3.0,2.0,1.0,6200000.0,公寓,1,1
312,鶯歌區,28.03,鋼筋混凝土造,86.26,3.0,1.0,1.0,2500000.0,公寓,1,1
314,樹林區,11.11,鋼筋混凝土造,64.96,1.0,1.0,1.0,3650000.0,華廈,1,1
316,三重區,13.97,鋼筋混凝土造,104.36,1.0,1.0,1.0,8900000.0,住宅大樓,1,1
317,中和區,11.19,鋼筋混凝土造,128.19,3.0,2.0,2.0,13500000.0,住宅大樓,1,1
318,永和區,21.75,鋼筋混凝土造,138.44,4.0,3.0,2.0,15680000.0,華廈,2,1
319,中和區,9.37,鋼筋混凝土造,79.78,2.0,2.0,1.0,7900000.0,住宅大樓,5,3
320,中和區,28.96,鋼筋混凝土造,94.2,3.0,2.0,2.0,8580000.0,公寓,1,1
327,汐止區,3.91,鋼筋混凝土造,41.4,0.0,0.0,0.0,1700000.0,住宅大樓,1,1
329,汐止區,5.83,鋼筋混凝土造,66.76,2.0,1.0,1.0,5200000.0,住宅大樓,1,2
330,新店區,14.26,鋼筋混凝土造,107.33,3.0,2.0,2.0,6500000.0,華廈,1,1
331,新店區,13.43,鋼筋混凝土造,74.01,2.0,2.0,1.0,5750000.0,華廈,2,1
348,三芝區,12.0,鋼筋混凝土造,97.92,3.0,2.0,2.0,2220000.0,住宅大樓,1,1
350,三芝區,13.12,鋼筋混凝土造,109.48,3.0,2.0,2.0,2000000.0,住宅大樓,1,1
354,永和區,28.08,鋼筋混凝土造,108.7,3.0,2.0,2.0,10950000.0,公寓,1,1
355,樹林區,18.68,鋼筋混凝土造,159.02,3.0,2.0,2.0,9600000.0,住宅大樓,1,1
357,三峽區,28.92,鋼筋混凝土造,131.6,3.0,2.0,2.0,6300000.0,華廈,1,1
358,永和區,31.8,鋼筋混凝土造,99.48,3.0,2.0,2.0,12860000.0,公寓,1,1
359,中和區,7.92,鋼筋混凝土造,52.49,2.0,1.0,1.0,8000000.0,住宅大樓,1,3
360,中和區,20.87,鋼筋混凝土造,69.99,3.0,1.0,1.0,3900000.0,公寓,1,1
362,中和區,22.58,鋼筋混凝土造,90.99,4.0,0.0,4.0,10000000.0,公寓,1,1
365,淡水區,5.37,鋼筋混凝土造,30.6,1.0,1.0,1.0,1200000.0,住宅大樓,1,1
366,八里區,19.68,鋼筋混凝土造,106.18,3.0,2.0,2.0,6390000.0,華廈,1,1
367,淡水區,29.19,鋼筋混凝土造,136.11,3.0,2.0,2.0,5400000.0,華廈,1,1
369,淡水區,25.29,鋼筋混凝土造,155.01,3.0,2.0,2.0,9800000.0,華廈,1,1
370,淡水區,5.93,鋼筋混凝土造,33.8,1.0,0.0,1.0,1400000.0,住宅大樓,1,1
371,淡水區,15.0,鋼筋混凝土造,112.43,2.0,2.0,1.0,5700000.0,住宅大樓,1,1
374,永和區,11.1,鋼筋混凝土造,122.29,3.0,2.0,2.0,15750000.0,住宅大樓,1,1
376,中和區,42.44,鋼筋混凝土造,187.4,3.0,2.0,3.0,12550000.0,公寓,1,1
377,中和區,13.43,鋼筋混凝土造,80.61,2.0,1.0,1.0,8000000.0,住宅大樓,3,1
378,三重區,15.78,鋼筋混凝土造,113.37,3.0,2.0,1.0,11500000.0,住宅大樓,3,1
379,三重區,38.96,鋼筋混凝土造,229.06,4.0,2.0,2.0,25850000.0,住宅大樓,1,1
380,三峽區,27.29,鋼筋混凝土造,144.33,2.0,1.0,1.0,5750000.0,華廈,1,2
381,樹林區,17.61,鋼筋混凝土造,131.01,3.0,2.0,2.0,7550000.0,住宅大樓,1,1
382,鶯歌區,19.12,鋼筋混凝土造,107.91,3.0,2.0,1.0,2750000.0,華廈,1,1
383,樹林區,16.05,鋼筋混凝土造,125.89,2.0,2.0,1.0,7100000.0,住宅大樓,1,1
384,樹林區,16.21,鋼筋混凝土造,121.22,3.0,2.0,1.0,8000000.0,住宅大樓,1,1
386,八里區,24.52,鋼筋混凝土造,186.81,3.0,2.0,2.0,10170000.0,住宅大樓,3,1
387,八里區,24.52,鋼筋混凝土造,186.81,3.0,2.0,2.0,7780000.0,住宅大樓,3,1
388,汐止區,19.65,鋼筋混凝土造,147.89,3.0,2.0,2.0,14400000.0,住宅大樓,1,1
391,淡水區,11.41,鋼筋混凝土造,82.62,0.0,1.0,1.0,4300000.0,套房,1,1
394,汐止區,22.14,鋼筋混凝土造,129.59,3.0,2.0,2.0,7600000.0,住宅大樓,2,2
395,新莊區,7.64,鋼筋混凝土造,86.03,3.0,1.0,2.0,5050000.0,住宅大樓,1,3
397,新莊區,0.1,鋼筋混凝土造,172.3,4.0,2.0,2.0,9350000.0,華廈,1,1
400,新店區,30.53,鋼筋混凝土造,56.02,3.0,2.0,1.0,3920000.0,公寓,1,1
401,汐止區,7.5,鋼筋混凝土造,38.22,1.0,1.0,1.0,4000000.0,住宅大樓,1,1
403,汐止區,9.72,鋼筋混凝土造,54.37,1.0,1.0,1.0,3800000.0,住宅大樓,2,1
404,汐止區,6.71,鋼筋混凝土造,96.85,2.0,1.0,1.0,3580000.0,住宅大樓,1,1
407,樹林區,19.54,鋼筋混凝土造,146.97,3.0,2.0,2.0,8500000.0,住宅大樓,1,1
408,樹林區,21.43,鋼筋混凝土造,121.17,3.0,2.0,2.0,7250000.0,住宅大樓,1,1
409,樹林區,16.64,鋼筋混凝土造,92.89,2.0,2.0,1.0,5000000.0,華廈,1,1
410,鶯歌區,25.33,鋼筋混凝土造,167.94,3.0,2.0,2.0,6100000.0,華廈,1,1
412,板橋區,29.75,鋼筋混凝土造,93.34,3.0,2.0,1.0,9000000.0,公寓,1,1
416,新莊區,23.13,鋼筋混凝土造,79.0,4.0,1.0,0.0,4500000.0,公寓,1,1
418,五股區,28.25,鋼筋混凝土造,72.52,2.0,2.0,2.0,3400000.0,公寓,1,1
419,永和區,27.72,鋼筋混凝土造,93.25,3.0,2.0,2.0,7800000.0,公寓,1,1
421,中和區,13.64,鋼筋混凝土造,137.74,3.0,2.0,2.0,11000000.0,住宅大樓,1,1
423,三重區,22.19,鋼筋混凝土造,149.21,3.0,2.0,2.0,15000000.0,住宅大樓,1,1
426,蘆洲區,23.71,鋼筋混凝土造,79.0,2.0,2.0,1.0,5450000.0,公寓,1,1
427,蘆洲區,26.12,鋼筋混凝土造,77.18,3.0,2.0,2.0,7000000.0,公寓,1,1
428,三重區,15.58,鋼筋混凝土造,55.68,1.0,1.0,1.0,3650000.0,公寓,1,1
429,三重區,30.93,鋼筋混凝土造,159.93,3.0,2.0,2.0,22410000.0,住宅大樓,1,1
430,三重區,48.22,鋼筋混凝土造,241.67,4.0,2.0,2.0,35690000.0,住宅大樓,1,1
431,三重區,36.14,鋼筋混凝土造,189.08,4.0,2.0,2.0,24280000.0,住宅大樓,1,1
432,三重區,31.1,鋼筋混凝土造,160.91,3.0,2.0,2.0,22200000.0,住宅大樓,1,1
438,蘆洲區,29.9,鋼筋混凝土造,90.75,3.0,2.0,2.0,6700000.0,公寓,1,1
441,八里區,13.08,鋼筋混凝土造,98.88,3.0,2.0,2.0,4190000.0,住宅大樓,1,1
444,蘆洲區,32.61,鋼筋混凝土造,110.94,3.0,2.0,2.0,8000000.0,公寓,1,1
447,樹林區,19.86,鋼筋混凝土造,85.74,3.0,1.0,1.0,3300000.0,公寓,1,1
448,三峽區,11.05,鋼筋混凝土造,75.22,2.0,1.0,1.0,3850000.0,住宅大樓,1,1
449,三峽區,5.01,鋼筋混凝土造,38.56,1.0,1.0,1.0,2735000.0,住宅大樓,1,1
454,樹林區,4.47,鋼筋混凝土造,70.62,2.0,1.0,1.0,3380000.0,住宅大樓,1,1
456,鶯歌區,15.56,鋼筋混凝土造,108.69,3.0,1.0,2.0,3300000.0,住宅大樓,1,1
458,樹林區,20.28,鋼筋混凝土造,156.35,3.0,2.0,2.0,8550000.0,住宅大樓,1,1
459,土城區,21.07,鋼筋混凝土造,164.4,3.0,2.0,2.0,11780000.0,住宅大樓,1,1
461,淡水區,10.27,鋼筋混凝土造,90.12,2.0,2.0,1.0,7250000.0,住宅大樓,2,1
462,淡水區,21.74,鋼筋混凝土造,138.6,3.0,2.0,2.0,8200000.0,住宅大樓,1,2
463,淡水區,18.09,鋼筋混凝土造,90.74,2.0,2.0,2.0,4800000.0,住宅大樓,1,1
465,新店區,17.12,鋼筋混凝土造,107.98,3.0,2.0,2.0,10500000.0,住宅大樓,1,1
466,汐止區,14.87,鋼筋混凝土造,108.68,3.0,2.0,2.0,8420000.0,住宅大樓,1,1
469,淡水區,34.02,鋼筋混凝土造,84.76,3.0,2.0,1.0,3300000.0,公寓,1,1
470,淡水區,19.89,鋼筋混凝土造,167.16,4.0,2.0,2.0,11300000.0,住宅大樓,2,1
471,淡水區,6.63,鋼筋混凝土造,30.87,1.0,1.0,1.0,1450000.0,套房,1,1
472,淡水區,5.09,鋼筋混凝土造,48.1,1.0,1.0,1.0,3500000.0,套房,1,1
475,淡水區,30.17,鋼筋混凝土造,85.56,2.0,2.0,1.0,6450000.0,公寓,1,1
476,淡水區,15.87,鋼筋混凝土造,117.44,1.0,1.0,1.0,7070000.0,住宅大樓,1,1
477,淡水區,24.43,鋼筋混凝土造,166.08,3.0,1.0,2.0,10250000.0,住宅大樓,1,1
479,八里區,15.47,鋼筋混凝土造,142.22,3.0,2.0,2.0,4850000.0,住宅大樓,1,1
481,淡水區,13.38,鋼筋混凝土造,93.34,2.0,2.0,2.0,4150000.0,住宅大樓,1,1
482,淡水區,36.85,鋼筋混凝土造,106.01,2.0,2.0,1.0,3120000.0,公寓,1,2
483,淡水區,18.74,鋼筋混凝土造,142.91,3.0,2.0,2.0,5900000.0,華廈,1,1
484,淡水區,5.91,鋼筋混凝土造,56.22,1.0,1.0,1.0,4070000.0,套房,1,1
487,汐止區,8.79,鋼筋混凝土造,115.45,2.0,2.0,1.0,3930000.0,住宅大樓,1,1
490,汐止區,27.31,鋼筋混凝土造,149.98,3.0,2.0,2.0,13200000.0,住宅大樓,1,1
492,汐止區,9.4,鋼筋混凝土造,129.49,3.0,2.0,2.0,12250000.0,住宅大樓,1,2
493,土城區,33.36,鋼筋混凝土造,188.24,4.0,1.0,1.0,19380000.0,住宅大樓,1,1
498,板橋區,3.63,鋼骨混凝土造,34.83,1.0,0.0,1.0,3150000.0,住宅大樓,1,2
499,板橋區,15.45,鋼筋混凝土造,115.28,2.0,2.0,1.0,7250000.0,華廈,1,1
500,板橋區,18.86,加強磚造,61.92,2.0,2.0,1.0,4130000.0,公寓,1,1
501,板橋區,9.78,鋼筋混凝土造,159.11,3.0,2.0,2.0,16680000.0,住宅大樓,1,1
508,板橋區,3.47,鋼筋混凝土造,42.28,1.0,1.0,1.0,6700000.0,住宅大樓,2,1
509,板橋區,3.61,見其他登記事項,83.91,1.0,1.0,1.0,12000000.0,套房,1,1
510,板橋區,2.1,見其他登記事項,37.03,1.0,1.0,1.0,6850000.0,套房,1,1
511,板橋區,14.98,鋼筋混凝土造,185.28,3.0,2.0,2.0,26880000.0,住宅大樓,1,1
518,新莊區,11.54,鋼筋混凝土造,75.46,2.0,2.0,1.0,6700000.0,住宅大樓,1,1
519,林口區,14.58,鋼筋混凝土造,152.7,0.0,0.0,0.0,7450000.0,住宅大樓,1,1
521,新莊區,23.06,加強磚造,71.59,3.0,2.0,2.0,6900000.0,公寓,1,1
523,新莊區,15.01,鋼筋混凝土造,134.21,4.0,2.0,2.0,7350000.0,住宅大樓,1,1
524,新莊區,18.54,鋼筋混凝土造,158.58,4.0,2.0,2.0,15600000.0,住宅大樓,1,1
528,林口區,25.67,鋼筋混凝土造,134.08,4.0,2.0,2.0,8300000.0,住宅大樓,1,1
529,新莊區,13.58,鋼筋混凝土造,101.83,3.0,1.0,2.0,11000000.0,住宅大樓,1,1
530,林口區,7.35,鋼筋混凝土造,55.92,1.0,1.0,1.0,3570000.0,華廈,1,1
531,新莊區,15.34,鋼筋混凝土造,151.71,3.0,2.0,2.0,8500000.0,住宅大樓,1,1
532,新莊區,15.25,鋼筋混凝土造,126.33,3.0,2.0,2.0,7150000.0,住宅大樓,1,1
534,新莊區,19.9,鋼筋混凝土造,121.0,3.0,2.0,2.0,8200000.0,住宅大樓,1,1
536,新莊區,6.54,鋼筋混凝土造,31.41,1.0,0.0,1.0,1650000.0,套房,1,1
538,板橋區,13.53,鋼筋混凝土造,143.06,2.0,2.0,2.0,10740000.0,住宅大樓,1,1
545,板橋區,21.21,鋼筋混凝土造,181.93,4.0,2.0,2.0,22000000.0,住宅大樓,1,1
