,District,L_area,MainMaterial,B_area,House/Building/Fang,LivingR,BathR,Price,PropertyType2,td,jw
4042,中和區,16.61,鋼筋混凝土造,50.96,2.0,1.0,1.0,3550000.0,公寓,1,1
4043,永和區,14.79,鋼筋混凝土造,172.44,4.0,2.0,2.0,26200000.0,住宅大樓,1,1
4045,中和區,25.38,鋼筋混凝土造,89.02,3.0,2.0,1.0,5650000.0,公寓,2,1
4046,中和區,10.42,鋼筋混凝土造,136.71,3.0,2.0,2.0,16500000.0,住宅大樓,1,1
4047,中和區,25.02,鋼筋混凝土造,94.3,3.0,2.0,2.0,6200000.0,公寓,2,1
4048,中和區,14.74,鋼筋混凝土造,156.91,3.0,2.0,2.0,16500000.0,華廈,1,1
4049,永和區,64.0,鋼筋混凝土造,181.96,2.0,2.0,2.0,20000000.0,公寓,1,2
4050,中和區,13.92,鋼骨鋼筋混凝土造,206.42,3.0,2.0,2.0,18000000.0,住宅大樓,1,1
4052,蘆洲區,20.16,鋼筋混凝土造,116.05,1.0,1.0,1.0,9500000.0,華廈,1,1
4053,蘆洲區,24.16,鋼筋混凝土造,83.0,3.0,1.0,1.0,6500000.0,公寓,1,1
4054,蘆洲區,27.82,鋼筋混凝土造,91.0,3.0,2.0,2.0,7800000.0,公寓,2,1
4055,蘆洲區,25.31,鋼筋混凝土造,74.0,3.0,1.0,1.0,5600000.0,公寓,1,1
4057,蘆洲區,27.81,鋼筋混凝土造,100.69,3.0,2.0,2.0,7400000.0,公寓,1,1
4058,蘆洲區,23.97,鋼筋混凝土造,110.88,4.0,2.0,2.0,11060000.0,華廈,1,1
4059,三重區,42.47,鋼筋混凝土造,308.0,3.0,2.0,2.0,29560000.0,住宅大樓,1,1
4060,三重區,33.94,鋼筋混凝土造,221.68,3.0,2.0,2.0,21990000.0,住宅大樓,1,1
4061,三重區,42.07,鋼筋混凝土造,263.7,3.0,2.0,2.0,27000000.0,住宅大樓,1,1
4062,三重區,34.14,鋼筋混凝土造,222.87,3.0,2.0,2.0,22250000.0,住宅大樓,1,1
4063,三重區,42.67,鋼筋混凝土造,351.33,3.0,2.0,2.0,30890000.0,住宅大樓,1,1
4066,蘆洲區,17.87,鋼筋混凝土造,71.0,3.0,1.0,1.0,4800000.0,公寓,1,1
4067,蘆洲區,7.39,鋼筋混凝土造,53.22,1.0,1.0,1.0,5750000.0,套房,1,1
4068,三重區,29.25,鋼筋混凝土造,79.0,3.0,1.0,1.0,6960000.0,公寓,2,1
4069,蘆洲區,12.63,鋼筋混凝土造,62.65,2.0,1.0,1.0,5325000.0,住宅大樓,1,1
4070,三重區,42.47,鋼筋混凝土造,308.0,3.0,2.0,2.0,25980000.0,住宅大樓,1,1
4072,三重區,22.5,鋼筋混凝土造,86.0,4.0,2.0,2.0,6400000.0,公寓,1,1
